norm,KBNC_1m_Count
wyching,4
silhouetted,9
mine,74
pair,106
directed,7
chip,12
ghastly,10
threes,4
slimy,13
hours,123
pugwash,31
hungarian,5
showed,71
offer,37
tests,11
slight,31
loom,3
anywhere,71
doubt,56
ear,76
27,4
leaning,70
bubbling,16
jin,10
rude,26
prevented,6
babby,4
spaceship,19
unfolded,6
grandmother,11
change,163
attached,14
perch,8
leant,12
tutor,10
disguise,9
waiter,45
mask,9
contents,17
anna,61
sculpture,1
saucers,6
crumbs,10
tales,20
lemonade,16
stars,51
era,1
jellies,5
honest,46
lean,18
lowest,17
dragged,39
clutching,27
strapped,4
cloakroom,5
skilful,2
deliberate,6
relentlessly,4
gangsters,2
base,55
brain,51
reclining,4
queens,2
monopoly,1
drowsily,2
rung,4
sack,18
terms,23
welcome,60
shouted,216
axis,13
amongst,25
leaving,122
breeches,19
willing,33
you'se,5
curious,44
trouble,176
gigantic,21
roads,23
hatred,43
excursions,2
innards,2
sending-off,1
stomach,55
needs,68
crestfallen,1
shown,82
reappeared,9
scraps,8
hug,8
waves,37
swooped,10
move,194
intellectual,1
underneath,43
part,171
short-arse,1
disgruntled,5
cap,31
enjoyably,1
sending,32
oliver,1
lovely,138
tied,55
magnetized,3
warning,50
potatoes,43
sliding,18
graces,2
seven,89
achieve,10
horrified,21
act,49
louisa,9
threat,17
nose,127
unless,50
gusto,1
beer,31
yelp,3
cultured,3
onwards,2
chairs,40
sigh,31
corner,164
boxes,43
rounded,8
play,147
letting,58
forces,6
harry,19
industrial,6
balloon,12
mid-speech,1
passed,135
iceland,3
wrongly,1
girls,163
speedy,2
bang,17
matron,45
tangled,12
comfortably,15
astonishing,5
patch,37
hedgehogs,18
...,2
understanding,30
pocket,131
trace,23
caused,26
soap,19
organ-grinder,2
moaned,30
breathlessly,14
delicate,28
gnome,12
mac,10
blood,86
orchard,18
flying,66
fractor,32
fourth,19
entire,35
spawn,3
8,77
thronging,1
believing,16
commented,9
learned,46
flatten,5
interested,76
grown,55
message,67
grunted,33
veteran,1
mackintosh,13
accident,57
downstairs,52
grabbed,63
stride,13
bustled,4
swedish,1
fine,157
amidst,5
makes,87
barrel,15
compressed,1
kenyon,19
swimming,108
bombings,3
threw,87
swing,14
skinned,1
japan,8
bringing,30
solemnly,9
stand,187
dancing,54
post,68
debated,2
migraine,3
embarrassment,10
rid,43
skirts,17
neck,105
